id_medico,nombre_medico,ESPECIALIDAD_nombre_especialidad
0,TAGLIAFICO Nicolas,Rehabilitación
1,PAVON Cristian,Medicina legal y forense
2,LANZINI Manuel,Cardiología
3,SALVIO Eduardo,Endocrinología
4,MESSI Lionel,Toxicología
5,ANSALDI Cristian,Medicina del trabajo
6,BIGLIA Lucas,Medicina aeroespacial
7,BANEGA Ever,Reumatología
8,MASCHERANO Javier,Toxicología
9,DYBALA Paulo,Cardiología
10,AGUERO Sergio,Urología
11,HIGUAIN Gonzalo,Urología
12,DI MARIA Angel,Nefrología
13,LO CELSO Giovani,Hematología y hemoterapia
14,MEZA Maximiliano,Pediatría
15,ACUNA Marcos,Medicina familiar y comunitaria
16,CABALLERO Wilfredo,Endocrinología
17,MERCADO Gabriel,Oncología radioterápica
18,OTAMENDI Nicolas,Medicina del deporte
19,ROJO Marcos,Nutriología
20,FAZIO Federico,Psiquiatría
21,ARMANI Franco,Pediatría
22,GUZMAN Nahuel,Medicina física y rehabilitación
23,BEHICH Aziz,Toxicología
24,KRUSE Robbie,Toxicología
25,RISDON Joshua,Medicina de urgencias
26,MEREDITH James,Neumología
27,MOOY Aaron,Rehabilitación
28,MacLAREN Jamie,Neurología
29,PETRATOS Dimitrios,Medicina intensiva
30,ARZANI Daniel,Medicina preventiva y salud pública
31,CAHILL Tim,Medicina preventiva y salud pública
32,LUONGO Massimo,Endocrinología
33,SAINSBURY Trent,Medicina de urgencias
34,IRVINE Jackson,Oftalmología
35,MILLIGAN Mark,Medicina veterinaria
36,JEDINAK Mile,Hematología y hemoterapia
37,JURIC Tomi,Medicina intensiva
38,RYAN Mathew,Psiquiatría
39,JURMAN Matthew,Rehabilitación
40,LECKIE Mathew,Alergología
41,DEGENEK Milos,Neumología
42,NABBOUT Andrew,Alergología
43,JONES Brad,Medicina física y rehabilitación
44,ROGIC Tom,Medicina familiar y comunitaria
45,VUKOVIC Danny,Medicina física y rehabilitación
46,MERTENS Dries,Psiquiatría
47,CARRASCO Yannick,Urología
48,DE BRUYNE Kevin,Gastroenterología
49,HAZARD Thorgan,Nefrología
50,TIELEMANS Youri,Infectología
51,WITSEL Axel,Nefrología
52,HAZARD Eden,Cardiología
53,JANUZAJ Adnan,Pediatría
54,DENDONCKER Leander,Rehabilitación
55,BATSHUAYI Michy,Psiquiatría
56,VERMAELEN Thomas,Medicina legal y forense
57,ALDERWEIRELD Toby,Anestesiología y reanimación
58,DEMBELE Moussa,Toxicología
59,BOYATA Dedryck,Medicina preventiva y salud pública
60,KOMPANY Vincent,Alergología
61,FELLAINI Marouane,Psiquiatría
62,CHADLI Nacer,Medicina familiar y comunitaria
63,VERTONGHEN Jan,Medicina del trabajo
64,CASTEELS Koen,Medicina familiar y comunitaria
65,MIGNOLET Simon,Endocrinología
66,MEUNIER Thomas,Medicina legal y forense
67,COURTOIS Thibaut,Cardiología
68,LUKAKU Romelu,Medicina aeroespacial
69,FRED,Geriatría
70,TAISON,Infectología
71,FERNANDINHO,Gastroenterología
72,FAGNER,Medicina del trabajo
73,NEYMAR,Medicina preventiva y salud pública
74,PHILIPPE COUTINHO,Oncología radioterápica
75,DOUGLAS COSTA,Medicina física y rehabilitación
76,FILIPE LUIS,Medicina aeroespacial
77,GABRIEL JESUS,Medicina interna
78,MARQUINHOS,Oncología radioterápica
79,ROBERTO FIRMINO,Anestesiología y reanimación
80,WILLIAN,Medicina física y rehabilitación
81,MIRANDA,Rehabilitación
82,DANILO,Oncología radioterápica
83,THIAGO SILVA,Endocrinología
84,MARCELO,Geriatría
85,PAULINHO,Nefrología
86,PEDRO GEROMEL,Medicina del trabajo
87,CASEMIRO,Medicina aeroespacial
88,RENATO AUGUSTO,Medicina preventiva y salud pública
89,EDERSON,Medicina del trabajo
90,ALISSON,Cardiología
91,CASSIO,Cardiología
92,QUINTERO Juan,Medicina interna
93,MOJICA Johan,Neumología
94,LERMA Jefferson,Gastroenterología
95,ARIAS Santiago,Rehabilitación
96,URIBE Mateus,Oftalmología
97,FALCAO Radamel,Anestesiología y reanimación
98,CUADRADO Juan,Neurología
99,FABRA Frank,Toxicología
100,IZQUIERDO Jose,Alergología
101,BARRIOS  Wilmar,Anestesiología y reanimación
102,BORJA Miguel,Neumología
103,RODRIGUEZ James,Geriatría
104,BACCA Carlos,Nefrología
105,MURIEL Luis,Medicina interna
106,OSPINA David,Oncología radioterápica
107,MURILLO Oscar,Cardiología
108,VARGAS Camilo,Neumología
109,CUADRADO Jose,Medicina del deporte
110,SANCHEZ Davinson,Medicina física y rehabilitación
111,ZAPATA Cristian,Urología
112,SANCHEZ Carlos,Toxicología
113,AGUILAR Abel,Hematología y hemoterapia
114,MINA Yerry,Medicina del deporte
115,BOLANOS Christian,Cardiología
116,GAMBOA Cristian,Cardiología
117,TEJEDA Yeltsin,Infectología
118,SMITH Ian,Rehabilitación
119,OVIEDO Bryan,Hematología y hemoterapia
120,WALLACE Rodney,Urología
121,URENA Marcos,Toxicología
