Albania, Tirana
Alemania, Berlín
Andorra, Andorra la Vella
Armenia, Ereván
Austria, Viena
Azerbaiyán, Bakú
Bielorrusia, Minsk
Bélgica, Bruselas
Bosnia-Herzegovina, Sarajevo
Bulgaria, Sofía
Chipre, Nicosia
Ciudad del Vaticano, Ciudad del Vaticano
Croacia, Zagreb
Dinamarca, Copenhague
Eslovaquia, Bratislava
Eslovenia, Liubliana
España, Madrid
Estonia, Tallin
Federación Rusa, Moscú
Finlandia, Helsinki
Francia, París
Georgia, Tiflis
Grecia, Atenas
Hungría, Budapest
Irlanda, Dublín
Islandia, Reikiavik
Italia, Roma
Letonia, Riga
Liechtenstein, Vaduz
Lituania, Vilna
Luxemburgo, Luxemburgo
Macedonia, Skopje
Malta, La Valetta
Moldova, Chisinau
Mónaco, Mónaco-Ville
Montenegro, Podgorica
Noruega, Oslo
Países Bajos, Amsterdam
Polonia, Varsovia
Portugal, Lisboa
Reino Unido, Londres
República Checa, Praga
Rumania, Bucarest
San Marino, San Marino
Serbia, Belgrado
Suecia, Estocolmo
Suiza, Berna
Ucrania, Kiev
