nombre_enfermedad,hereditaria,cura_conocida,tratamiento,contagiosa,ingreso
Absceso dental,YES,NO,NO,NO,YES
Accidente cerebro vascular ACV,NO,YES,NO,NO,YES
Alcoholismo,YES,NO,NO,NO,NO
Anemia,YES,NO,NO,NO,YES
Anemia de Fanconi,NO,YES,YES,YES,NO
Anemia ferropénica,NO,NO,NO,YES,YES
Anemia hemolítica,NO,NO,NO,YES,YES
Anorexia,YES,NO,NO,NO,YES
Apnea del sueño,YES,NO,NO,NO,YES
Asma,YES,NO,NO,NO,YES
Aterosclerosis,YES,NO,NO,NO,YES
Bronquiectasias,NO,YES,YES,YES,YES
Bronquitis,NO,NO,NO,YES,NO
Brucelosis,YES,NO,NO,NO,NO
Bulimia,NO,YES,NO,NO,YES
Calambres musculares,NO,NO,NO,YES,YES
Cálculos de riñón,YES,NO,NO,NO,NO
Callos y callosidades,YES,NO,NO,NO,NO
Cefaleas,NO,NO,NO,YES,NO
Cefaleas de tensión,YES,NO,NO,NO,NO
Ciática,YES,NO,NO,NO,NO
Colitis Ulcerosa,NO,NO,NO,YES,NO
Colon irritable,YES,NO,NO,NO,YES
Coma etílico,NO,NO,NO,YES,NO
Congelación,YES,NO,NO,NO,YES
Degeneración macular del ojo,NO,NO,NO,NO,YES
Depresión,NO,NO,NO,YES,NO
Deshidratación,NO,NO,NO,YES,YES
Desmayos y mareos,YES,NO,NO,NO,NO
Diarrea,NO,NO,NO,NO,YES
Diarrea del viajero,NO,NO,NO,NO,YES
Dolor de espalda,NO,NO,NO,YES,YES
Dolor de garganta,YES,NO,NO,NO,YES
Dolor de oído,NO,NO,NO,YES,NO
Embarazo en la adolescencia,NO,NO,NO,NO,NO
Enfermedad de Crohn,NO,NO,NO,NO,NO
Enfermedad de Parkinson,YES,NO,NO,NO,NO
Estreñimiento,NO,YES,YES,YES,NO
Fisura anal,NO,NO,NO,YES,YES
Ganglión,YES,NO,NO,NO,NO
Glositis,YES,NO,NO,NO,YES
Gota,YES,NO,NO,NO,YES
Hemorroides,YES,NO,NO,NO,YES
Hernia discal,YES,NO,NO,NO,NO
Hiperlipemias y colesterol elevado,NO,YES,YES,NO,YES
Hipertensión arterial HTA,YES,NO,NO,NO,YES
Hipertensión intracraneal idiopática,YES,NO,NO,NO,NO
Hipocondría,NO,YES,NO,NO,NO
Hipotensión,YES,NO,NO,NO,YES
Hongos,NO,YES,NO,NO,NO
Hongos en las uñas,NO,YES,NO,YES,NO
Juanetes,NO,YES,YES,YES,YES
La gripe,YES,NO,NO,NO,YES
Laberintitis,NO,NO,NO,NO,YES
Labios agrietados,NO,NO,NO,NO,NO
Laringitis,YES,NO,NO,NO,YES
Latigazo cervical,NO,YES,NO,NO,NO
Lengua geográfica,NO,YES,NO,YES,NO
Lengua negra vellosa,YES,NO,NO,NO,NO
Litiasis renal,YES,NO,NO,NO,NO
Mareo,NO,YES,YES,YES,YES
Mastoiditis,NO,YES,NO,YES,YES
Medicamento: Prozac®,NO,NO,NO,NO,NO
Medidas sanitarias en los viajes al extranjero,YES,NO,NO,NO,NO
Migrañas y jaquecas,NO,NO,NO,YES,YES
Obesidad,NO,YES,YES,NO,NO
Orinar por la noche,NO,NO,NO,YES,YES
Parálisis facial de Bell,NO,NO,NO,YES,NO
Piel seca,YES,NO,NO,NO,YES
Preparación de los viajes largos,YES,NO,NO,NO,YES
Prevención de las hemorroides,YES,NO,NO,NO,YES
Reflujo gastroesofágico,NO,NO,NO,NO,YES
Resfriados,YES,NO,NO,NO,YES
Ronquidos,YES,NO,NO,NO,NO
Rotura de tímpano,NO,YES,YES,YES,NO
Sangrado nasal,NO,YES,NO,YES,NO
Sangrado rectal,YES,NO,NO,NO,YES
Sangre en el esputo,YES,NO,NO,NO,NO
Sangre en la orina,NO,YES,NO,NO,NO
Síndrome de astenia crónica,YES,NO,NO,NO,YES
Síndrome de piernas inquietas,YES,NO,NO,NO,YES
Síndrome hepático renal,YES,NO,NO,NO,YES
Síndrome nefrótico,NO,NO,NO,NO,YES
Sinusitis,YES,NO,NO,NO,NO
Talasemia,NO,YES,NO,NO,NO
Tendinitis,NO,YES,YES,YES,NO
Tic en el párpado,YES,NO,NO,NO,YES
Tratamiento de las jaquecas,YES,NO,NO,NO,NO
Tratamiento del alcoholismo,YES,NO,NO,NO,NO
Varices,YES,NO,NO,NO,YES
Vértigo,YES,NO,NO,NO,NO
Vómitos de sangre,NO,NO,NO,YES,NO
